IDENTIFICACION;NOMBRE;GENERO;ESTADOCIVIL;FECHANACIMIENTO;TELEFONO;DIRECCION;EMAIL;;
1726656885;Edison Ucsiña;M;Soltero;21/8/1997;3411243;Atucucho Sector Corazon de jesus;edison@gmail.com;;
1234567891;Steven Cajas;M;Casado;1/8/1990;998187445;La Biloxi;steven@gmail.com;;
1764581234;Nancy Morales;F;Viudo;2/2/1985;994756789;Sector Condado Shopping;nancy@gmail.com;;
1784593467;Yadira Morales;F;En union libre;10/11/2000;23456789;Cotocollao;yadira@gmail.com;;
1745894752;Marcelo Duque;M;Soltero;11/11/1995;23456789;Av. De La Prensa;marcelo@gmail.com;;
1345879246;Renato Chulca;M;Soltero;12/11/1978;23456789;Colinas del Norte;renato@gmail.com;;
2497851264;Anthony Torres;M;Casado;13/11/1988;23456789;San Roque;antony@gmail.com;;
1678426258;Martha Jativa;F;En union libre;14/11/1997;23456789;Av. Del Maestro;martha@gmail.com;;
1284069520;Sofia Rualez;F;En union libre;15/11/1985;23456789;San Blas;sofia@gmail.com;;
;;;;;;;;;
